epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3664,1.35788,1.63669,1.81008,0.5535,0.55952,0.57353,0.35426,1.51019,1.8685,2.10433,0.000298266,0.000298266,0.000298266
2,65.6229,1.40985,1.64511,1.85515,0.68344,0.43012,0.53828,0.31326,1.5392,1.80615,2.15302,0.000586384,0.000586384,0.000586384
3,92.5999,1.41847,1.69751,1.85393,0.57536,0.50528,0.52941,0.30919,1.56967,1.86112,2.14461,0.000859504,0.000859504,0.000859504
4,123.19,1.44706,1.7462,1.87079,0.44983,0.54833,0.50535,0.28369,1.63101,2.04034,2.25439,0.000841507,0.000841507,0.000841507
5,152.182,1.43741,1.71714,1.86321,0.44181,0.51203,0.48329,0.2848,1.56254,1.90227,2.15685,0.000819009,0.000819009,0.000819009
6,181.291,1.44232,1.75104,1.88478,0.52352,0.50758,0.53101,0.30137,1.56858,1.80022,2.19399,0.000796511,0.000796511,0.000796511
7,210.59,1.40112,1.68714,1.84123,0.4803,0.4779,0.49096,0.27714,1.63327,1.80257,2.25388,0.000774013,0.000774013,0.000774013
8,238.084,1.40545,1.62448,1.83442,0.6647,0.47698,0.54684,0.33028,1.47314,1.79689,2.04941,0.000751516,0.000751516,0.000751516
9,262.879,1.38568,1.64675,1.82893,0.53046,0.50226,0.5249,0.30096,1.55762,1.77997,2.14995,0.000729018,0.000729018,0.000729018
10,288.786,1.38515,1.66554,1.80526,0.52742,0.40998,0.47651,0.26943,1.58719,1.86581,2.15553,0.00070652,0.00070652,0.00070652
11,315.218,1.37332,1.60384,1.80004,0.53999,0.48805,0.50854,0.30857,1.47347,1.74415,2.04711,0.000684022,0.000684022,0.000684022
12,341.604,1.36607,1.56106,1.80356,0.61808,0.50131,0.56455,0.33884,1.56566,1.70773,2.1355,0.000661525,0.000661525,0.000661525
13,368.235,1.38889,1.62118,1.79563,0.47451,0.48096,0.52988,0.32752,1.48648,1.81672,2.07828,0.000639027,0.000639027,0.000639027
14,394.725,1.33678,1.5131,1.76433,0.56013,0.56366,0.59182,0.35222,1.52634,1.6844,2.09842,0.000616529,0.000616529,0.000616529
